subject,condition,n_planets,centrality_rt_corr,mean_centrality
48.0,4-planets,4,-0.19052741421883695,0.16667796533568344
48.0,5-planets,5,0.09377699684750365,0.10003319294629442
49.0,2-planets,2,,1.0
49.0,3-planets,3,-0.061935514896665475,0.33333753943819877
49.0,4-planets,4,-0.10147045486145588,0.16666666666666666
49.0,5-planets,5,-0.07333883904786034,0.10000000000000002
50.0,2-planets,2,,1.0
50.0,3-planets,3,-0.08083984736345715,0.33333722941698996
50.0,4-planets,4,-0.01947643642984332,0.16673634086895464
51.0,2-planets,2,,1.0
51.0,3-planets,3,-0.19780218373510217,0.333391509201983
51.0,4-planets,4,-0.028810332281462788,0.166707693042175
51.0,5-planets,5,-0.04451430354681062,0.1000156211228257
52.0,2-planets,2,,1.0
52.0,3-planets,3,-0.3735249764027953,0.3333674583674584
52.0,5-planets,5,0.008530416747382209,0.1
53.0,3-planets,3,0.04261363470095056,0.3333371507100321
53.0,4-planets,4,0.008421147257703912,0.16697525209718078
53.0,5-planets,5,0.02440787023138271,0.10012323828225426
54.0,2-planets,2,,1.0
54.0,3-planets,3,0.1261236378064542,0.33333743846369085
54.0,4-planets,4,0.027741273576570465,0.16668537182105903
54.0,5-planets,5,0.11718246061482575,0.10013544543755153
55.0,2-planets,2,,1.0
55.0,3-planets,3,0.014566735670769286,0.3333481485986708
55.0,4-planets,4,0.04420796191820835,0.16667743774048535
55.0,5-planets,5,-0.03014619385286669,0.10001555538508392
56.0,2-planets,2,,1.0
56.0,3-planets,3,0.04829826888356052,0.3333536985826984
56.0,4-planets,4,-0.05293782360340233,0.1667936356864763
56.0,5-planets,5,-0.06630015340026464,0.10003567462159495
57.0,2-planets,2,,1.0
57.0,3-planets,3,-0.20474536136956983,0.3333482974568473
57.0,5-planets,5,-0.19310392892411193,0.10000897847410833
58.0,2-planets,2,,1.0
58.0,3-planets,3,-0.03621257786140275,0.3333333333333333
58.0,4-planets,4,-0.05324530181312103,0.16667394842161176
58.0,5-planets,5,0.1076285765723768,0.10002131256720355
59.0,2-planets,2,,1.0
59.0,3-planets,3,0.01036444392711905,0.3333372069027346
59.0,4-planets,4,0.08550458247744488,0.1667847029206395
59.0,5-planets,5,-0.03129819025137857,0.10001998849921853
60.0,2-planets,2,,1.0
60.0,3-planets,3,0.07805294800024207,0.33335735337565664
60.0,4-planets,4,8.574139811371927e-05,0.16673401505010707
60.0,5-planets,5,-0.029376323999301943,0.10004528494557176
61.0,2-planets,2,,1.0
61.0,3-planets,3,-0.04106152417871859,0.33336817786932954
61.0,4-planets,4,-0.09324583351911674,0.1666736378184197
61.0,5-planets,5,-0.04776949036209481,0.10000899351568224
62.0,2-planets,2,,1.0
62.0,3-planets,3,-0.12270331686573552,0.3333486574735988
62.0,4-planets,4,0.2377435217735406,0.16667502628343253
62.0,5-planets,5,-0.03296009296304946,0.10005661300170972
63.0,2-planets,2,,1.0
63.0,3-planets,3,0.01387676204615159,0.3333557830043349
63.0,4-planets,4,-0.05998037576056855,0.16666666666666666
63.0,5-planets,5,-0.12117996832050551,0.1
64.0,2-planets,2,,1.0
64.0,3-planets,3,0.02488839128057406,0.33336753212933257
64.0,4-planets,4,0.000190617393699971,0.16668955430015533
64.0,5-planets,5,0.09028117353214779,0.10009459837828681
65.0,2-planets,2,,1.0
65.0,3-planets,3,0.2828441124917227,0.33333333333333337
65.0,4-planets,4,-0.008842628772257426,0.16670319644324424
65.0,5-planets,5,0.05690039553593276,0.10001675456501583
66.0,2-planets,2,,1.0
66.0,3-planets,3,0.009779853891784818,0.3333478345005248
66.0,4-planets,4,-0.12552955961966994,0.16667932986313297
66.0,5-planets,5,-0.05684078863643682,0.09999999999999995
67.0,3-planets,3,0.06336343935635295,0.3333542248469792
67.0,4-planets,4,-0.019683205825667356,0.16666666666666666
67.0,5-planets,5,0.05240196132805358,0.1000560599888761
68.0,2-planets,2,,1.0
68.0,3-planets,3,0.009108932592582577,0.33338240706661765
68.0,4-planets,4,0.02147137365002224,0.16681263262708693
68.0,5-planets,5,-0.11340112900292972,0.10003151511921722
69.0,2-planets,2,,1.0
69.0,3-planets,3,0.03328647542401371,0.3333449310116566
69.0,4-planets,4,0.03225129250113562,0.1667103649295662
69.0,5-planets,5,-0.07754885570993032,0.10000893743370881
70.0,2-planets,2,,1.0
70.0,3-planets,3,0.03916644490510711,0.33337852800940043
